id,name,type,lat,lon,city,bank_name
56,"ICICI Bank ATM, Dadar, Mumbai",ATM,19.0188,72.8467,Mumbai,ICICI Bank
57,"ICICI Bank Branch, Borivali, Mumbai",Branch,19.2317,72.8555,Mumbai,ICICI Bank
58,"ICICI Bank ATM, Andheri, Mumbai",ATM,19.1133,72.8727,Mumbai,ICICI Bank
59,"State Bank of India ATM, Kurla, Mumbai",ATM,19.0711,72.8812,Mumbai,State Bank of India
60,"ICICI Bank ATM, Dadar, Mumbai",ATM,19.017,72.8457,Mumbai,ICICI Bank
61,"Punjab National Bank ATM, Vikhroli, Mumbai",ATM,19.1108,72.9268,Mumbai,Punjab National Bank
62,"Punjab National Bank ATM, Kurla, Mumbai",ATM,19.0716,72.8836,Mumbai,Punjab National Bank
63,"HDFC Bank ATM, Bandra, Mumbai",ATM,19.0619,72.831,Mumbai,HDFC Bank
64,"HDFC Bank ATM, Powai, Mumbai",ATM,19.1182,72.9073,Mumbai,HDFC Bank
65,"HDFC Bank ATM, Kurla, Mumbai",ATM,19.0727,72.885,Mumbai,HDFC Bank
66,"State Bank of India ATM, Malad, Mumbai",ATM,19.1884,72.8466,Mumbai,State Bank of India
67,"ICICI Bank ATM, Powai, Mumbai",ATM,19.1156,72.9057,Mumbai,ICICI Bank
68,"Bank of Baroda Branch, Kurla, Mumbai",Branch,19.0699,72.8801,Mumbai,Bank of Baroda
69,"Bank of Baroda ATM, Kurla, Mumbai",ATM,19.07,72.8818,Mumbai,Bank of Baroda
70,"Punjab National Bank ATM, Malad, Mumbai",ATM,19.1842,72.8481,Mumbai,Punjab National Bank
71,"State Bank of India ATM, Dadar, Mumbai",ATM,19.0189,72.8488,Mumbai,State Bank of India
72,"ICICI Bank Branch, Vikhroli, Mumbai",Branch,19.1094,72.9276,Mumbai,ICICI Bank
73,"HDFC Bank ATM, Borivali, Mumbai",ATM,19.233,72.8538,Mumbai,HDFC Bank
74,"Bank of Baroda ATM, Malad, Mumbai",ATM,19.1882,72.8515,Mumbai,Bank of Baroda
75,"HDFC Bank ATM, Borivali, Mumbai",ATM,19.2324,72.8543,Mumbai,HDFC Bank
76,"State Bank of India Branch, Dadar, Mumbai",Branch,19.016,72.8503,Mumbai,State Bank of India
77,"ICICI Bank ATM, Dadar, Mumbai",ATM,19.0161,72.8488,Mumbai,ICICI Bank
78,"Axis Bank ATM, Powai, Mumbai",ATM,19.1198,72.9088,Mumbai,Axis Bank
79,"ICICI Bank ATM, Kurla, Mumbai",ATM,19.0722,72.8855,Mumbai,ICICI Bank
80,"Punjab National Bank ATM, Andheri, Mumbai",ATM,19.1113,72.8725,Mumbai,Punjab National Bank
81,"HDFC Bank ATM, Connaught Place, Delhi",ATM,28.6292,77.2163,Delhi,HDFC Bank
82,"Bank of Baroda ATM, Vasant Kunj, Delhi",ATM,28.5206,77.1592,Delhi,Bank of Baroda
83,"Axis Bank ATM, Rohini, Delhi",ATM,28.7468,77.0561,Delhi,Axis Bank
84,"Punjab National Bank ATM, Lajpat Nagar, Delhi",ATM,28.5673,77.2463,Delhi,Punjab National Bank
85,"ICICI Bank ATM, Karol Bagh, Delhi",ATM,28.6532,77.1897,Delhi,ICICI Bank
86,"ICICI Bank Branch, Lajpat Nagar, Delhi",Branch,28.5671,77.2424,Delhi,ICICI Bank
87,"HDFC Bank ATM, Vasant Kunj, Delhi",ATM,28.521,77.1584,Delhi,HDFC Bank
88,"Bank of Baroda ATM, Mayur Vihar, Delhi",ATM,28.61,77.2945,Delhi,Bank of Baroda
89,"State Bank of India ATM, Rohini, Delhi",ATM,28.7478,77.0582,Delhi,State Bank of India
90,"Punjab National Bank ATM, Pitampura, Delhi",ATM,28.6939,77.1321,Delhi,Punjab National Bank
91,"Punjab National Bank Branch, Dwarka, Delhi",Branch,28.5931,77.0447,Delhi,Punjab National Bank
92,"Bank of Baroda ATM, Karol Bagh, Delhi",ATM,28.6538,77.1924,Delhi,Bank of Baroda
93,"Bank of Baroda ATM, Saket, Delhi",ATM,28.5263,77.2045,Delhi,Bank of Baroda
94,"State Bank of India ATM, Pitampura, Delhi",ATM,28.6949,77.1326,Delhi,State Bank of India
95,"Axis Bank Branch, Mayur Vihar, Delhi",Branch,28.6078,77.2963,Delhi,Axis Bank
96,"Axis Bank Branch, Saket, Delhi",Branch,28.5224,77.2077,Delhi,Axis Bank
97,"State Bank of India Branch, Saket, Delhi",Branch,28.5226,77.2093,Delhi,State Bank of India
98,"Punjab National Bank Branch, Connaught Place, Delhi",Branch,28.6318,77.2192,Delhi,Punjab National Bank
99,"State Bank of India Branch, Dwarka, Delhi",Branch,28.5939,77.047,Delhi,State Bank of India
100,"Punjab National Bank ATM, Pitampura, Delhi",ATM,28.6949,77.1323,Delhi,Punjab National Bank
101,"Punjab National Bank Branch, Janakpuri, Delhi",Branch,28.6216,77.0858,Delhi,Punjab National Bank
102,"Axis Bank Branch, Rohini, Delhi",Branch,28.751,77.0585,Delhi,Axis Bank
103,"ICICI Bank Branch, Saket, Delhi",Branch,28.5231,77.2041,Delhi,ICICI Bank
104,"ICICI Bank ATM, Rohini, Delhi",ATM,28.7485,77.0589,Delhi,ICICI Bank
105,"State Bank of India ATM, Dwarka, Delhi",ATM,28.5905,77.0472,Delhi,State Bank of India
106,"Bank of Baroda ATM, Karol Bagh, Delhi",ATM,28.6514,77.1899,Delhi,Bank of Baroda
107,"Axis Bank Branch, Connaught Place, Delhi",Branch,28.6297,77.2162,Delhi,Axis Bank
108,"Punjab National Bank ATM, Mayur Vihar, Delhi",ATM,28.6089,77.2921,Delhi,Punjab National Bank
109,"ICICI Bank ATM, Vasant Kunj, Delhi",ATM,28.5221,77.1618,Delhi,ICICI Bank
110,"Axis Bank ATM, Pitampura, Delhi",ATM,28.6925,77.1306,Delhi,Axis Bank
111,"State Bank of India Branch, Lajpat Nagar, Delhi",Branch,28.5687,77.2454,Delhi,State Bank of India
112,"Bank of Baroda ATM, Pitampura, Delhi",ATM,28.6967,77.1339,Delhi,Bank of Baroda
113,"Punjab National Bank ATM, Vasant Kunj, Delhi",ATM,28.5206,77.1601,Delhi,Punjab National Bank
114,"State Bank of India Branch, Dwarka, Delhi",Branch,28.5943,77.0441,Delhi,State Bank of India
115,"ICICI Bank Branch, Lajpat Nagar, Delhi",Branch,28.566,77.2426,Delhi,ICICI Bank
116,"Axis Bank ATM, Vasant Kunj, Delhi",ATM,28.5185,77.1566,Delhi,Axis Bank
117,"State Bank of India ATM, Lajpat Nagar, Delhi",ATM,28.566,77.241,Delhi,State Bank of India
118,"Bank of Baroda ATM, Connaught Place, Delhi",ATM,28.6342,77.2149,Delhi,Bank of Baroda
119,"State Bank of India ATM, Saket, Delhi",ATM,28.5223,77.2076,Delhi,State Bank of India
120,"Punjab National Bank ATM, Pitampura, Delhi",ATM,28.6954,77.1326,Delhi,Punjab National Bank
121,"HDFC Bank ATM, Adyar, Chennai",ATM,13.004,80.2541,Chennai,HDFC Bank
122,"State Bank of India ATM, Kodambakkam, Chennai",ATM,13.0535,80.2276,Chennai,State Bank of India
123,"Axis Bank ATM, Anna Nagar, Chennai",ATM,13.0856,80.2121,Chennai,Axis Bank
124,"HDFC Bank ATM, Tambaram, Chennai",ATM,12.927,80.1006,Chennai,HDFC Bank
125,"State Bank of India ATM, Guindy, Chennai",ATM,13.0069,80.2216,Chennai,State Bank of India
126,"State Bank of India ATM, T Nagar, Chennai",ATM,13.0439,80.236,Chennai,State Bank of India
127,"State Bank of India Branch, Guindy, Chennai",Branch,13.0075,80.2226,Chennai,State Bank of India
128,"Bank of Baroda ATM, Mylapore, Chennai",ATM,13.032,80.262,Chennai,Bank of Baroda
129,"Bank of Baroda ATM, Kodambakkam, Chennai",ATM,13.0542,80.2251,Chennai,Bank of Baroda
130,"Axis Bank Branch, Mylapore, Chennai",Branch,13.0359,80.2625,Chennai,Axis Bank
131,"ICICI Bank ATM, Anna Nagar, Chennai",ATM,13.0837,80.2098,Chennai,ICICI Bank
132,"Axis Bank Branch, Guindy, Chennai",Branch,13.0039,80.2227,Chennai,Axis Bank
133,"HDFC Bank Branch, Velachery, Chennai",Branch,12.9747,80.2193,Chennai,HDFC Bank
134,"ICICI Bank ATM, Ashok Nagar, Chennai",ATM,13.0352,80.2137,Chennai,ICICI Bank
135,"State Bank of India ATM, Mylapore, Chennai",ATM,13.0338,80.2634,Chennai,State Bank of India
136,"Bank of Baroda Branch, Porur, Chennai",Branch,13.0378,80.1536,Chennai,Bank of Baroda
137,"ICICI Bank ATM, Mylapore, Chennai",ATM,13.0351,80.2607,Chennai,ICICI Bank
138,"Punjab National Bank ATM, Porur, Chennai",ATM,13.0384,80.1556,Chennai,Punjab National Bank
139,"Bank of Baroda ATM, Guindy, Chennai",ATM,13.0079,80.2192,Chennai,Bank of Baroda
140,"ICICI Bank ATM, Anna Nagar, Chennai",ATM,13.0863,80.209,Chennai,ICICI Bank
141,"Bank of Baroda ATM, Velachery, Chennai",ATM,12.9739,80.2206,Chennai,Bank of Baroda
142,"Bank of Baroda ATM, Anna Nagar, Chennai",ATM,13.087,80.2089,Chennai,Bank of Baroda
143,"ICICI Bank ATM, Tambaram, Chennai",ATM,12.922,80.1002,Chennai,ICICI Bank
144,"ICICI Bank ATM, T Nagar, Chennai",ATM,13.0421,80.2353,Chennai,ICICI Bank
145,"HDFC Bank Branch, Anna Nagar, Chennai",Branch,13.0872,80.2105,Chennai,HDFC Bank
146,"Axis Bank Branch, Porur, Chennai",Branch,13.0371,80.1593,Chennai,Axis Bank
147,"ICICI Bank Branch, Anna Nagar, Chennai",Branch,13.0869,80.2095,Chennai,ICICI Bank
148,"State Bank of India ATM, Adyar, Chennai",ATM,12.9991,80.2569,Chennai,State Bank of India
149,"ICICI Bank ATM, Velachery, Chennai",ATM,12.9733,80.2223,Chennai,ICICI Bank
150,"Punjab National Bank ATM, Ashok Nagar, Chennai",ATM,13.0374,80.2135,Chennai,Punjab National Bank
151,"ICICI Bank Branch, Tambaram, Chennai",Branch,12.9253,80.0974,Chennai,ICICI Bank
152,"Bank of Baroda ATM, Velachery, Chennai",ATM,12.9764,80.2193,Chennai,Bank of Baroda
153,"State Bank of India ATM, Velachery, Chennai",ATM,12.9736,80.2182,Chennai,State Bank of India
154,"State Bank of India Branch, Porur, Chennai",Branch,13.0392,80.1563,Chennai,State Bank of India
155,"State Bank of India ATM, Tambaram, Chennai",ATM,12.9261,80.1012,Chennai,State Bank of India
156,"Axis Bank ATM, Velachery, Chennai",ATM,12.9781,80.2224,Chennai,Axis Bank
157,"Bank of Baroda ATM, Mylapore, Chennai",ATM,13.0316,80.2602,Chennai,Bank of Baroda
158,"HDFC Bank ATM, Adyar, Chennai",ATM,12.9986,80.2545,Chennai,HDFC Bank
159,"ICICI Bank ATM, Porur, Chennai",ATM,13.0358,80.1576,Chennai,ICICI Bank
160,"Bank of Baroda Branch, Tambaram, Chennai",Branch,12.9249,80.1,Chennai,Bank of Baroda
161,"State Bank of India ATM, Ameerpet, Hyderabad",ATM,17.4388,78.4493,Hyderabad,State Bank of India
162,"State Bank of India ATM, Secunderabad, Hyderabad",ATM,17.4427,78.5003,Hyderabad,State Bank of India
163,"Punjab National Bank ATM, Kukatpally, Hyderabad",ATM,17.4854,78.4154,Hyderabad,Punjab National Bank
164,"HDFC Bank Branch, Uppal, Hyderabad",Branch,17.4067,78.5615,Hyderabad,HDFC Bank
165,"HDFC Bank Branch, Dilsukhnagar, Hyderabad",Branch,17.3715,78.5245,Hyderabad,HDFC Bank
166,"Axis Bank ATM, Madhapur, Hyderabad",ATM,17.4493,78.3936,Hyderabad,Axis Bank
167,"ICICI Bank Branch, Dilsukhnagar, Hyderabad",Branch,17.3674,78.5274,Hyderabad,ICICI Bank
168,"Punjab National Bank ATM, Dilsukhnagar, Hyderabad",ATM,17.3662,78.5232,Hyderabad,Punjab National Bank
169,"State Bank of India Branch, Uppal, Hyderabad",Branch,17.4077,78.556,Hyderabad,State Bank of India
170,"Punjab National Bank Branch, Ameerpet, Hyderabad",Branch,17.4347,78.4488,Hyderabad,Punjab National Bank
171,"Punjab National Bank Branch, Dilsukhnagar, Hyderabad",Branch,17.3703,78.5229,Hyderabad,Punjab National Bank
172,"Punjab National Bank ATM, Kukatpally, Hyderabad",ATM,17.4845,78.415,Hyderabad,Punjab National Bank
173,"State Bank of India ATM, LB Nagar, Hyderabad",ATM,17.3475,78.554,Hyderabad,State Bank of India
174,"ICICI Bank ATM, Uppal, Hyderabad",ATM,17.4052,78.5573,Hyderabad,ICICI Bank
175,"State Bank of India Branch, Jubilee Hills, Hyderabad",Branch,17.4335,78.405,Hyderabad,State Bank of India
176,"Bank of Baroda ATM, Uppal, Hyderabad",ATM,17.407,78.5585,Hyderabad,Bank of Baroda
177,"Axis Bank Branch, Secunderabad, Hyderabad",Branch,17.4396,78.4962,Hyderabad,Axis Bank
178,"HDFC Bank ATM, Jubilee Hills, Hyderabad",ATM,17.4313,78.4088,Hyderabad,HDFC Bank
179,"Axis Bank ATM, Uppal, Hyderabad",ATM,17.4044,78.556,Hyderabad,Axis Bank
180,"Bank of Baroda ATM, LB Nagar, Hyderabad",ATM,17.3462,78.5537,Hyderabad,Bank of Baroda
181,"HDFC Bank Branch, Uppal, Hyderabad",Branch,17.4057,78.558,Hyderabad,HDFC Bank
182,"Punjab National Bank Branch, Dilsukhnagar, Hyderabad",Branch,17.3713,78.5269,Hyderabad,Punjab National Bank
183,"Bank of Baroda ATM, LB Nagar, Hyderabad",ATM,17.345,78.5548,Hyderabad,Bank of Baroda
184,"Axis Bank ATM, Madhapur, Hyderabad",ATM,17.4498,78.3927,Hyderabad,Axis Bank
185,"Axis Bank Branch, Gachibowli, Hyderabad",Branch,17.4401,78.3461,Hyderabad,Axis Bank
186,"Punjab National Bank ATM, Jubilee Hills, Hyderabad",ATM,17.4348,78.4067,Hyderabad,Punjab National Bank
187,"Punjab National Bank Branch, Banjara Hills, Hyderabad",Branch,17.4169,78.4342,Hyderabad,Punjab National Bank
188,"Bank of Baroda ATM, Jubilee Hills, Hyderabad",ATM,17.4324,78.4099,Hyderabad,Bank of Baroda
189,"ICICI Bank Branch, Jubilee Hills, Hyderabad",Branch,17.4347,78.4092,Hyderabad,ICICI Bank
190,"Punjab National Bank Branch, Madhapur, Hyderabad",Branch,17.4491,78.3938,Hyderabad,Punjab National Bank
191,"Axis Bank ATM, LB Nagar, Hyderabad",ATM,17.3431,78.5535,Hyderabad,Axis Bank
192,"ICICI Bank ATM, Jubilee Hills, Hyderabad",ATM,17.4322,78.4047,Hyderabad,ICICI Bank
193,"Bank of Baroda ATM, Dilsukhnagar, Hyderabad",ATM,17.3667,78.5235,Hyderabad,Bank of Baroda
194,"State Bank of India ATM, Madhapur, Hyderabad",ATM,17.4501,78.3903,Hyderabad,State Bank of India
195,"ICICI Bank Branch, Gachibowli, Hyderabad",Branch,17.4386,78.3484,Hyderabad,ICICI Bank
196,"Bank of Baroda ATM, Gachibowli, Hyderabad",ATM,17.4382,78.3496,Hyderabad,Bank of Baroda
197,"Axis Bank ATM, Dilsukhnagar, Hyderabad",ATM,17.3712,78.5226,Hyderabad,Axis Bank
198,"Axis Bank ATM, Dilsukhnagar, Hyderabad",ATM,17.3672,78.5218,Hyderabad,Axis Bank
199,"Axis Bank ATM, Uppal, Hyderabad",ATM,17.4037,78.5587,Hyderabad,Axis Bank
200,"ICICI Bank ATM, Ameerpet, Hyderabad",ATM,17.4385,78.4484,Hyderabad,ICICI Bank
